,valuable
813,1
814,0
815,1
816,0
817,1
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,0
826,0
827,1
828,0
829,0
830,1
831,1
832,1
833,0
834,1
835,1
836,0
837,0
838,0
839,0
840,1
841,1
842,1
843,0
844,1
845,0
846,1
847,1
848,1
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,1
859,1
860,1
861,0
862,1
863,1
864,1
865,1
866,0
867,1
868,1
869,0
870,0
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,0
879,1
880,0
881,0
882,0
883,0
884,1
885,0
886,1
887,0
888,1
889,1
890,1
891,0
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,0
905,0
906,1
907,1
908,0
909,0
910,1
911,0
912,0
913,1
914,1
915,0
916,1
917,0
918,1
919,0
920,0
921,1
922,0
923,0
924,0
925,0
926,1
927,1
928,0
929,0
930,1
931,1
932,1
933,0
934,0
935,0
936,1
937,1
938,0
939,1
940,1
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,1
949,1
950,0
951,1
952,0
953,1
954,1
955,1
956,1
957,0
958,1
959,0
960,0
961,0
962,0
963,1
964,1
965,1
966,0
967,1
968,1
969,0
970,0
971,0
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,1
980,1
981,1
982,1
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,1
991,1
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,1
1005,1
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,1
1023,1
1024,0
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,0
1078,0
1079,1
1080,1
1081,0
1082,1
1083,1
1084,1
1085,1
1086,0
1087,0
1088,1
1089,0
1090,1
1091,0
1092,1
1093,1
1094,0
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,0
1102,1
1103,1
1104,0
1105,1
1106,1
1107,1
1108,0
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,0
1120,1
1121,0
1122,1
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,1
1142,0
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,0
1152,1
1153,1
1154,0
1155,1
1156,1
1157,1
1158,0
1159,1
1160,0
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,0
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,0
1185,0
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,0
1196,1
1197,1
1198,1
1199,1
1200,1
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,0
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,0
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,0
1228,0
1229,1
1230,0
1231,1
1232,0
1233,0
1234,1
1235,1
1236,1
1237,1
1238,0
1239,0
1240,0
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,0
1250,0
1251,1
1252,1
1253,1
1254,0
1255,1
1256,0
1257,1
1258,1
1259,1
1260,0
1261,0
1262,0
1263,1
1264,0
1265,1
1266,1
1267,0
1268,1
1269,0
1270,1
1271,1
1272,1
1273,1
1274,0
1275,1
1276,1
1277,0
1278,1
1279,1
1280,1
1281,0
1282,1
1283,0
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,0
1297,1
1298,1
1299,0
1300,1
1301,1
1302,0
1303,1
1304,0
1305,1
1306,1
1307,1
1308,1
1309,1
1310,0
1311,0
1312,1
1313,1
1314,1
1315,1
1316,1
1317,0
1318,1
1319,1
1320,1
1321,0
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,0
1332,0
1333,0
1334,1
1335,0
1336,1
1337,1
1338,0
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,0
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,0
1356,1
1357,0
1358,1
1359,0
1360,1
1361,1
1362,0
1363,0
1364,1
1365,1
1366,1
1367,0
1368,1
1369,1
1370,1
1371,0
1372,0
1373,0
1374,0
1375,0
1376,1
1377,1
1378,1
1379,0
1380,0
1381,1
1382,0
1383,0
1384,0
1385,1
1386,1
1387,1
1388,1
1389,0
1390,1
1391,0
1392,1
1393,1
1394,1
1395,1
1396,0
1397,1
1398,0
1399,1
1400,1
1401,0
1402,1
1403,1
1404,1
1405,0
1406,0
1407,0
1408,0
1409,1
1410,1
1411,1
1412,1
1413,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,0
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,0
1428,1
1429,0
1430,1
1431,1
1432,0
1433,0
1434,1
1435,1
1436,1
1437,0
1438,1
1439,1
1440,0
1441,0
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,0
1449,0
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,0
1458,1
1459,1
1460,1
1461,0
1462,1
1463,1
1464,1
1465,1
1466,1
1467,0
1468,1
1469,0
1470,1
1471,1
1472,0
1473,1
1474,1
1475,1
1476,1
1477,1
1478,0
1479,0
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,0
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,0
1495,0
1496,1
1497,1
1498,1
1499,0
1500,1
1501,0
1502,1
1503,0
1504,1
1505,0
1506,1
1507,1
1508,1
1509,1
1510,1
1511,0
1512,1
1513,1
1514,1
1515,0
1516,1
1517,1
1518,0
1519,0
1520,0
1521,0
1522,0
1523,1
1524,1
1525,1
1526,0
1527,0
1528,1
1529,0
1530,1
1531,1
1532,1
1533,0
1534,1
1535,1
1536,0
1537,1
1538,1
1539,0
1540,0
1541,0
1542,0
1543,1
1544,1
1545,0
1546,1
1547,1
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,1
1555,0
1556,1
1557,0
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,0
1569,1
1570,1
1571,1
1572,1
1573,0
1574,1
1575,0
1576,1
1577,1
1578,1
1579,1
1580,1
1581,0
1582,0
1583,1
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,1
1596,1
1597,1
1598,0
1599,1
1600,0
1601,0
1602,0
1603,0
1604,1
1605,1
1606,1
1607,1
1608,1
1609,1
1610,0
1611,0
1612,1
1613,1
1614,0
1615,0
1616,0
1617,1
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,1
1627,0
1628,0
1629,1
1630,1
1631,0
1632,0
1633,1
1634,0
1635,1
1636,0
1637,0
1638,0
1639,1
1640,1
1641,1
1642,1
1643,1
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,1
1651,1
1652,0
1653,0
1654,0
1655,1
1656,1
1657,0
1658,0
1659,1
1660,1
1661,0
1662,1
1663,1
1664,1
1665,1
1666,1
1667,0
1668,0
1669,0
1670,1
1671,1
1672,0
1673,1
1674,1
1675,1
1676,1
1677,1
1678,0
1679,0
1680,1
1681,1
1682,1
1683,1
1684,0
1685,0
1686,1
1687,1
1688,1
1689,1
1690,0
1691,1
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,1
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,1
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,1
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,1
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,1
1989,0
1990,0
1991,0
1992,1
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,1
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,1
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,1
2030,0
2031,0
2032,0
2033,0
2034,0
2035,1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,0
2042,0
2043,1
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,1
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,1
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,1
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,1
2099,0
2100,0
2101,1
2102,1
2103,0
2104,0
2105,0
2106,1
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,1
2114,0
2115,0
2116,0
2117,0
2118,0
2119,1
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,1
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,1
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,1
2159,1
2160,0
2161,1
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,1
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,1
2204,0
2205,0
2206,0
2207,0
2208,1
2209,0
2210,1
2211,1
2212,0
2213,1
2214,1
2215,0
2216,0
2217,0
2218,1
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,1
2231,1
2232,0
2233,0
2234,1
2235,1
2236,1
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,1
2249,0
2250,1
2251,1
2252,0
2253,0
2254,1
2255,0
2256,0
2257,0
2258,0
2259,0
2260,1
2261,0
2262,1
2263,1
2264,0
2265,0
2266,0
2267,0
2268,1
2269,1
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,1
2278,0
2279,0
2280,0
2281,0
2282,0
2283,1
2284,0
2285,1
2286,0
2287,0
2288,1
2289,0
2290,0
2291,1
2292,1
2293,0
2294,0
2295,1
2296,1
2297,0
2298,0
2299,0
2300,0
2301,1
2302,1
2303,0
2304,0
2305,0
2306,0
2307,1
2308,0
2309,1
2310,0
2311,0
2312,1
2313,1
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,1
2322,1
2323,0
2324,0
2325,1
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,1
2335,1
2336,0
2337,1
2338,0
2339,0
2340,1
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,1
2348,0
2349,1
2350,0
2351,1
2352,0
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,1
2360,1
2361,1
2362,0
2363,0
2364,1
2365,0
2366,1
2367,1
2368,1
2369,0
2370,1
2371,0
2372,0
2373,0
2374,1
2375,0
2376,0
2377,1
2378,0
2379,0
2380,1
2381,0
2382,0
2383,0
2384,0
2385,1
2386,1
2387,1
2388,0
2389,0
2390,0
2391,0
2392,1
2393,1
2394,1
2395,0
2396,0
2397,1
2398,1
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,1
2409,0
2410,0
2411,0
2412,0
2413,1
2414,0
2415,0
2416,1
2417,1
2418,1
2419,0
2420,0
2421,0
2422,0
2423,1
2424,1
2425,0
2426,1
2427,1
2428,1
2429,0
2430,0
2431,1
2432,1
2433,0
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,0
2441,1
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,1
2455,0
2456,0
2457,0
2458,1
2459,0
2460,0
2461,0
2462,0
2463,1
2464,1
2465,0
2466,1
2467,1
2468,0
2469,0
2470,1
2471,1
2472,0
2473,0
2474,1
2475,0
2476,0
2477,1
2478,1
2479,1
2480,1
2481,0
2482,0
2483,0
2484,1
2485,0
2486,0
2487,1
2488,1
2489,1
2490,0
2491,0
2492,1
2493,1
2494,1
2495,0
2496,0
2497,1
2498,1
2499,0
2500,1
2501,1
2502,1
2503,1
2504,0
2505,1
2506,0
2507,1
2508,1
2509,1
2510,0
2511,1
2512,1
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,1
2521,1
2522,1
2523,1
2524,0
2525,0
2526,1
2527,1
2528,1
2529,1
2530,0
2531,0
2532,1
2533,0
2534,1
2535,0
2536,1
2537,0
2538,1
2539,0
2540,1
2541,0
2542,0
2543,1
2544,0
2545,0
2546,0
2547,0
2548,0
2549,0
2550,0
2551,0
2552,1
2553,0
2554,1
2555,0
2556,1
2557,0
2558,1
2559,0
2560,0
2561,0
2562,0
2563,0
2564,1
2565,1
2566,0
2567,1
2568,1
2569,0
2570,1
2571,1
2572,0
2573,0
2574,0
2575,0
2576,1
2577,0
2578,0
2579,1
2580,1
2581,1
2582,1
2583,0
2584,0
2585,1
2586,0
2587,1
2588,0
2589,1
2590,1
2591,0
2592,0
2593,1
2594,0
2595,0
2596,1
2597,1
2598,1
2599,0
2600,1
2601,0
2602,1
2603,1
2604,1
2605,1
2606,1
2607,0
2608,0
2609,1
2610,0
2611,1
2612,1
2613,0
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,0
2621,0
2622,0
2623,1
2624,0
2625,1
2626,1
2627,1
2628,1
2629,1
2630,0
2631,0
2632,0
2633,1
2634,0
2635,0
2636,1
2637,0
2638,1
2639,0
2640,1
2641,0
2642,1
2643,1
2644,0
2645,1
2646,0
2647,0
2648,0
2649,1
2650,1
2651,1
2652,1
2653,0
2654,1
2655,1
2656,1
2657,0
2658,0
2659,0
2660,0
2661,1
2662,1
2663,1
2664,0
2665,1
2666,0
2667,0
2668,1
2669,0
2670,0
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,0
2678,1
2679,1
2680,0
2681,1
2682,0
2683,0
2684,1
2685,0
2686,0
2687,0
2688,1
2689,1
2690,1
2691,1
2692,1
2693,0
2694,1
2695,1
2696,0
2697,0
2698,1
2699,0
2700,0
2701,1
2702,1
2703,0
2704,0
2705,1
2706,1
2707,1
2708,0
2709,1
2710,0
2711,1
2712,1
2713,1
2714,0
2715,1
2716,0
2717,1
2718,1
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,0
2726,1
2727,1
2728,0
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,0
2737,1
2738,0
2739,0
2740,0
2741,0
2742,0
2743,0
2744,1
2745,0
2746,1
2747,1
2748,1
2749,1
2750,1
2751,0
2752,1
2753,0
2754,1
2755,1
2756,1
2757,1
2758,1
2759,1
2760,0
2761,1
2762,0
2763,1
2764,1
2765,1
2766,1
2767,1
2768,0
2769,0
2770,0
2771,0
2772,1
2773,1
2774,1
2775,1
2776,1
2777,1
2778,0
2779,1
2780,1
2781,1
2782,1
2783,0
2784,1
2785,1
2786,1
2787,1
2788,1
2789,0
2790,1
2791,0
2792,1
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2799,1
2800,0
2801,1
2802,0
2803,0
2804,0
2805,1
2806,0
2807,1
2808,0
2809,1
2810,0
2811,1
2812,1
2813,1
2814,1
2815,0
2816,1
2817,0
2818,0
2819,1
2820,1
2821,1
2822,0
2823,1
2824,0
2825,1
2826,1
2827,0
2828,0
2829,1
2830,1
2831,1
2832,1
2833,1
2834,1
2835,0
2836,1
2837,0
2838,1
2839,0
2840,0
2841,1
2842,0
2843,0
2844,1
2845,0
2846,1
2847,1
2848,1
2849,0
2850,0
2851,1
2852,1
2853,0
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,0
2864,1
2865,0
2866,1
2867,1
2868,1
2869,1
2870,0
2871,1
2872,1
2873,1
2874,1
2875,0
2876,1
2877,0
2878,0
2879,1
2880,1
2881,0
2882,1
2883,1
2884,1
2885,1
2886,0
2887,1
2888,1
2889,0
2890,1
2891,1
2892,0
2893,0
2894,0
2895,0
2896,1
2897,1
2898,1
2899,0
2900,0
2901,1
2902,1
2903,1
2904,1
2905,0
2906,1
2907,1
2908,1
2909,0
2910,1
2911,0
2912,1
2913,1
2914,1
2915,1
2916,1
2917,1
2918,0
2919,1
2920,1
2921,1
2922,0
2923,1
2924,1
2925,0
2926,1
2927,0
2928,1
2929,1
2930,1
2931,1
2932,1
2933,0
2934,1
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,0
2942,1
2943,1
2944,1
2945,1
2946,0
2947,0
2948,1
2949,1
2950,1
2951,1
2952,0
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,0
2960,0
2961,0
2962,1
2963,1
2964,1
2965,1
2966,1
2967,1
2968,0
2969,1
2970,1
2971,1
2972,1
2973,0
2974,0
2975,0
2976,0
2977,1
2978,0
2979,0
2980,0
2981,1
2982,1
2983,0
2984,0
2985,0
2986,0
2987,1
2988,1
2989,1
2990,1
2991,1
2992,0
2993,1
2994,1
2995,1
2996,1
2997,1
